X,thresh,start_time,end_time,id,centr,conflict,state,turn,dur,ang_vel,outcome,dist2pred,dist2fc,diff_flock_start,diff_flock_end,fl_turn,mainFlock_size,subFlock_size,dist_group,fl_size
5569,2,431,431.6,5,1.68083,0,2,-0.156467929,0.6,-0.260779882,turn,31.1661,2.33117,-0.162320644,-14.76843539,-14.76258268,8,8,30-40,s
5570,2,467.4,468.2,5,1.46055,0,2,12.48156453,0.8,15.60195566,split,50.635,1.59838,-13.44340579,-2.970069503,22.95490082,7,7,50-60,s
5571,2,136.2,138.2,6,7.53732,1,2,43.59998916,2,21.79999458,turn,31.6743,6.58378,-25.48938136,17.12286323,86.21223375,6,6,30-40,s
5572,2,161.2,163.2,6,0.0949693,1,2,-15.54645332,2,-7.773226661,split,181.168,0.152289,3.924275951,22.6489556,3.178226331,7,7,>60,s
5573,2,237.2,238.2,6,2.88237,1,2,-7.110553255,1,-7.110553255,split,25.3566,4.43051,18.34172025,58.11907296,32.66679946,8,8,20-30,s
5574,2,266.8,268.6,6,0.952309,0,2,-15.09277505,1.8,-8.38487503,turn,57.7444,0.999352,-4.221364251,4.075252773,-6.796158029,8,8,50-60,s
5575,2,290.4,294.4,6,0.294381,0,2,28.71165882,4,7.177914706,split,30.0789,0.215498,-4.524550237,28.41388603,61.65009509,8,8,30-40,s
5576,2,426.4,428.4,6,1.40296,1,2,1.90033115,2,0.950165575,turn,474.053,1.3363,3.254759533,-6.495314793,-7.849743176,8,8,>60,s
5577,2,17,19.6,7,0.839054,0,2,12.08857605,2.6,4.649452326,split,32.0314,0.53815,0.720445694,57.84510266,69.21323301,8,8,30-40,s
5578,2,111,113,7,1.2562,0,2,6.095093237,2,3.047546618,split,48.6823,0.88365,5.031294507,-26.08198614,-25.01818741,8,8,40-50,s
5579,2,434.8,436.2,7,1.04467,0,2,-9.362460275,1.4,-6.687471625,split,45.1698,1.83472,2.592545777,43.55103123,31.59602518,8,8,40-50,s
5580,2,470.6,474.6,7,5.33611,0,2,29.15756188,4,7.289390471,split,78.0476,7.62605,-1.655064793,-27.87618849,2.93643819,7,7,>60,s
5581,2,43,47,0,1.46826,1,2,21.65084149,4,5.412710373,split,91.5558,0.679484,-2.723177176,-0.559299883,23.81471878,10,10,>60,s
5582,2,57.6,60.6,0,10.7583,0,2,-62.0011629,3,-20.6670543,split,18.2488,7.14172,5.994098111,26.37309657,-41.62216444,10,10,Oct/20,s
5583,2,116.4,117.4,0,6.06709,1,2,-12.35230441,1,-12.35230441,turn,7.80964,5.91292,1.330651119,-9.256093032,-22.93904856,9,9,<10,s
5584,2,176.4,176.6,0,7.86914,0,2,2.727291386,0.2,13.63645693,split,60.416,5.47271,-0.406656933,NA,NA,4,4,>60,s
5585,2,43.8,46.8,1,1.85811,1,2,37.95926898,3,12.65308966,split,89.4503,2.37176,4.897681463,-10.13581211,22.92577541,10,10,>60,s
5586,2,71.8,75.8,1,5.68215,1,2,-23.49076798,4,-5.872691994,turn,35.482,7.67461,7.95750767,-19.15503147,-50.60330711,10,10,30-40,s
5587,2,84.2,85.4,1,2.39355,0,2,80.63380345,1.2,67.19483621,split,59.5939,2.06834,1.343388989,-67.31379338,11.97662108,10,10,50-60,s
5588,2,313.4,314.2,1,12.6758,0,2,-2.453952998,0.8,-3.067441248,turn,39.5867,14.7866,9.665765908,-1.102503169,-13.22222207,10,10,30-40,s
5589,2,333.2,334.8,1,2.47471,1,2,-4.321408731,1.6,-2.700880457,turn,80.7963,3.59621,6.829278239,5.657416286,-5.493270684,10,10,>60,s
5590,2,95,97.4,2,1.60016,1,2,-1.018078242,2.4,-0.424199268,turn,57.1464,1.09912,0.385737492,-3.686530355,-5.090346089,9,9,50-60,s
5591,2,126.8,127.8,2,1.58569,1,2,86.24245382,1,86.24245382,split,459.487,0.901557,-6.852758714,-95.10633298,-2.011120444,9,9,>60,s
5592,2,157.6,160.4,2,1.00174,0,2,4.773965227,2.8,1.704987581,turn,132.109,2.01577,-0.540895036,-132.5190158,-127.2041555,5,5,>60,s
5593,2,251.2,251.8,2,1.72923,1,2,2.111409926,0.6,3.519016544,turn,30.1918,0.254819,1.347724811,-24.98141368,-24.21772856,8,8,30-40,s
5594,2,407.2,409.8,2,2.84759,1,2,5.864905002,2.6,2.255732693,split,37.5189,2.70385,2.241137913,42.69750005,46.32126714,9,9,30-40,s
5595,2,476.2,478.2,2,3.0001,1,2,67.20138982,2,33.60069491,split,66.4149,3.6935,-3.516995404,-54.61613219,16.10225303,9,9,>60,s
